DATE,COUNTY,TEST_POS,TEST_NEG,DEATHS_TOT
3/31/20,Anderson,10,129,0
3/31/20,Bedford,2,74,0
3/31/20,Benton,4,32,0
3/31/20,Bledsoe,2,8,0
3/31/20,Blount,25,124,0
3/31/20,Bradley,10,109,0
3/31/20,Campbell,4,54,0
3/31/20,Cannon,3,47,0
3/31/20,Carroll,5,79,0
3/31/20,Carter,1,52,0
3/31/20,Cheatham,10,155,0
3/31/20,Chester,3,43,0
3/31/20,Claiborne,2,24,0
3/31/20,Clay,0,22,0
3/31/20,Cocke,1,40,0
3/31/20,Coffee,1,120,0
3/31/20,Crockett,0,17,0
3/31/20,Cumberland,11,241,0
3/31/20,Davidson,391,3885,0
3/31/20,Decatur,0,30,0
3/31/20,DeKalb,4,48,0
3/31/20,Dickson,17,124,0
3/31/20,Dyer,3,52,0
3/31/20,Fayette,12,120,0
3/31/20,Fentress,1,44,0
3/31/20,Franklin,5,68,0
3/31/20,Gibson,6,90,0
3/31/20,Giles,3,70,0
3/31/20,Grainger,0,36,0
3/31/20,Greene,12,61,0
3/31/20,Grundy,4,22,0
3/31/20,Hamblen,2,65,0
3/31/20,Hamilton,48,519,0
3/31/20,Hancock,0,4,0
3/31/20,Hardeman,1,35,0
3/31/20,Hardin,1,84,0
3/31/20,Hawkins,4,50,0
3/31/20,Haywood,2,27,0
3/31/20,Henderson,0,68,0
3/31/20,Henry,1,59,0
3/31/20,Hickman,0,53,0
3/31/20,Houston,1,70,0
3/31/20,Humphreys,2,31,0
3/31/20,Jackson,0,25,0
3/31/20,Jefferson,6,69,0
3/31/20,Johnson,2,5,0
3/31/20,Knox,66,637,0
3/31/20,Lake,0,10,0
3/31/20,Lauderdale,0,28,0
3/31/20,Lawrence,2,97,0
3/31/20,Lewis,2,16,0
3/31/20,Lincoln,1,45,0
3/31/20,Loudon,8,82,0
3/31/20,Macon,4,57,0
3/31/20,Madison,5,131,0
3/31/20,Marion,5,35,0
3/31/20,Marshall,1,99,0
3/31/20,Maury,15,374,0
3/31/20,McMinn,3,109,0
3/31/20,McNairy,1,47,0
3/31/20,Meigs,1,24,0
3/31/20,Monroe,5,89,0
3/31/20,Montgomery,19,380,0
3/31/20,Moore,0,14,0
3/31/20,Morgan,1,23,0
3/31/20,Non-Tennessee Resident,190,3847,0
3/31/20,Obion,1,59,0
3/31/20,Overton,2,61,0
3/31/20,Pending,307,4869,0
3/31/20,Perry,2,17,0
3/31/20,Pickett,0,7,0
3/31/20,Polk,0,17,0
3/31/20,Putnam,24,207,0
3/31/20,Rhea,1,56,0
3/31/20,Roane,2,86,0
3/31/20,Robertson,28,268,0
3/31/20,Rutherford,68,817,0
3/31/20,Scott,2,38,0
3/31/20,Sequatchie,1,16,0
3/31/20,Sevier,8,168,0
3/31/20,Shelby,428,1943,0
3/31/20,Smith,2,69,0
3/31/20,Stewart,0,43,0
3/31/20,Sullivan,13,134,0
3/31/20,Sumner,184,692,0
3/31/20,Tipton,21,142,0
3/31/20,Trousdale,4,22,0
3/31/20,Unicoi,1,21,0
3/31/20,Union,1,20,0
3/31/20,Van Buren,0,16,0
3/31/20,Warren,1,71,0
3/31/20,Washington,14,229,0
3/31/20,Wayne,1,17,0
3/31/20,Weakley,1,55,0
3/31/20,White,1,59,0
3/31/20,Williamson,131,1097,0
3/31/20,Wilson,39,477,0
4/1/20,Anderson,10,135,0
4/1/20,Bedford,4,77,0
4/1/20,Benton,4,35,0
4/1/20,Bledsoe,2,8,0
4/1/20,Blount,28,131,0
4/1/20,Bradley,14,142,0
4/1/20,Campbell,4,56,0
4/1/20,Cannon,3,50,0
4/1/20,Carroll,5,83,0
4/1/20,Carter,1,54,0
4/1/20,Cheatham,11,164,0
4/1/20,Chester,3,45,0
4/1/20,Claiborne,2,24,0
4/1/20,Clay,1,25,0
4/1/20,Cocke,1,42,0
4/1/20,Coffee,1,126,0
4/1/20,Crockett,0,20,0
4/1/20,Cumberland,14,266,0
4/1/20,Davidson,423,4235,4
4/1/20,Decatur,0,31,0
4/1/20,DeKalb,5,63,0
4/1/20,Dickson,18,127,0
4/1/20,Dyer,3,63,0
4/1/20,Fayette,14,131,0
4/1/20,Fentress,1,48,0
4/1/20,Franklin,7,68,0
4/1/20,Gibson,6,111,0
4/1/20,Giles,3,72,0
4/1/20,Grainger,3,37,0
4/1/20,Greene,15,66,1
4/1/20,Grundy,6,23,0
4/1/20,Hamblen,3,67,0
4/1/20,Hamilton,50,533,2
4/1/20,Hancock,0,5,0
4/1/20,Hardeman,4,36,0
4/1/20,Hardin,2,87,0
4/1/20,Hawkins,5,51,0
4/1/20,Haywood,2,27,0
4/1/20,Henderson,0,75,0
4/1/20,Henry,1,62,0
4/1/20,Hickman,1,58,0
4/1/20,Houston,1,70,0
4/1/20,Humphreys,2,31,0
4/1/20,Jackson,0,27,0
4/1/20,Jefferson,6,73,0
4/1/20,Johnson,2,5,0
4/1/20,Knox,78,673,1
4/1/20,Lake,0,12,0
4/1/20,Lauderdale,1,30,0
4/1/20,Lawrence,2,104,0
4/1/20,Lewis,2,16,0
4/1/20,Lincoln,2,46,0
4/1/20,Loudon,8,88,0
4/1/20,Macon,4,66,0
4/1/20,Madison,7,143,0
4/1/20,Marion,8,37,1
4/1/20,Marshall,1,104,0
4/1/20,Maury,17,391,0
4/1/20,McMinn,3,114,0
4/1/20,McNairy,1,48,0
4/1/20,Meigs,1,28,0
4/1/20,Monroe,5,92,0
4/1/20,Montgomery,27,403,0
4/1/20,Moore,0,14,0
4/1/20,Morgan,1,25,0
4/1/20,Non-Tennessee Resident,243,4645,1
4/1/20,Obion,2,64,0
4/1/20,Overton,2,68,0
4/1/20,Pending,442,7160,0
4/1/20,Perry,2,20,0
4/1/20,Pickett,0,8,0
4/1/20,Polk,0,17,0
4/1/20,Putnam,31,227,0
4/1/20,Rhea,1,58,0
4/1/20,Roane,2,89,0
4/1/20,Robertson,35,292,0
4/1/20,Rutherford,86,873,1
4/1/20,Scott,3,40,0
4/1/20,Sequatchie,1,16,0
4/1/20,Sevier,9,179,0
4/1/20,Shelby,496,2397,3
4/1/20,Smith,3,74,0
4/1/20,Stewart,0,44,0
4/1/20,Sullivan,17,140,0
4/1/20,Sumner,201,743,7
4/1/20,Tipton,22,148,0
4/1/20,Trousdale,5,22,1
4/1/20,Unicoi,1,22,0
4/1/20,Union,1,22,0
4/1/20,Van Buren,0,17,0
4/1/20,Warren,1,74,0
4/1/20,Washington,21,235,0
4/1/20,Wayne,1,21,0
4/1/20,Weakley,1,59,0
4/1/20,White,2,64,0
4/1/20,Williamson,148,1194,2
4/1/20,Wilson,45,538,0
4/2/20,Anderson,10,164,0
4/2/20,Bedford,6,110,0
4/2/20,Benton,4,36,0
4/2/20,Bledsoe,2,15,0
4/2/20,Blount,32,148,0
4/2/20,Bradley,18,171,0
4/2/20,Campbell,4,66,0
4/2/20,Cannon,4,59,0
4/2/20,Carroll,5,91,0
4/2/20,Carter,1,68,0
4/2/20,Cheatham,11,196,0
4/2/20,Chester,3,49,0
4/2/20,Claiborne,2,39,0
4/2/20,Clay,1,28,0
4/2/20,Cocke,1,53,0
4/2/20,Coffee,3,135,0
4/2/20,Crockett,0,29,0
4/2/20,Cumberland,16,296,0
4/2/20,Davidson,617,4813,6
4/2/20,Decatur,0,38,0
4/2/20,DeKalb,5,75,0
4/2/20,Dickson,20,147,0
4/2/20,Dyer,5,82,0
4/2/20,Fayette,14,148,0
4/2/20,Fentress,1,52,0
4/2/20,Franklin,8,97,0
4/2/20,Gibson,6,143,0
4/2/20,Giles,3,76,0
4/2/20,Grainger,3,41,0
4/2/20,Greene,16,87,1
4/2/20,Grundy,8,35,0
4/2/20,Hamblen,3,90,0
